31,'全网数据业务分析之空间分析呈现用户数_营销片区',5,'ftbStatBussAdminSpaceHourUsers','1 ','0 ','query_ftbStatDaySaleAreaGprsSpaceUsers;ftp;load_ftbStatDaySaleAreaGprsSpaceUsers'
32,'全网数据业务分析之空间分析呈现用户数_分公司',5,'ftbStatBussAdminSpaceHourUsers','1 ','0 ','query_ftbStatDayCompanyGprsSpaceUsers;ftp;load_ftbStatDayCompanyGprsSpaceUsers'
33,'全网数据业务分析之空间分析呈现_业务维BSC',5,'ftbStatBussNetSpaceHourUsers','1 ','0 ','query_ftbStatDayBscBussTypeUsers;ftp;load_ftbStatDayBscBussTypeUsers'
34,'全网数据业务分析之空间分析_业务维SGSN',5,'ftbStatBussNetSpaceHourUsers','1 ','0 ','query_ftbStatDaySgsnBussTypeUsers;ftp;load_ftbStatDaySgsnBussTypeUsers'
35,'全网数据业务分析之空间分析_业务维_街道办',5,'ftbStatBussAdminSpaceHourUsers','1 ','0 ','query_ftbStatDayStreetBussTypeUsers;ftp;load_ftbStatDayStreetBussTypeUsers'
36,'全网数据业务分析之空间分析_业务维_营销片区',5,'ftbStatBussAdminSpaceHourUsers','1 ','0 ','query_ftbStatDaySaleAreaBussTypeUsers;ftp;load_ftbStatDaySaleAreaBussTypeUsers'
37,'全网数据业务分析之空间分析_业务维_分公司',5,'ftbStatBussAdminSpaceHourUsers','1 ','0 ','query_ftbStatDayCompanyBussTypeUsers;ftp;load_ftbStatDayCompanyBussTypeUsers'
38,'全网数据业务分析之业务用户数',5,'ftbStatBussNetSpaceHourUsers','1 ','0 ','query_ftbStatDayGprsBussTypeUsers;ftp;load_ftbStatDayGprsBussTypeUsers'
39,'全网数据业务分析之APN用户数',5,'ftbStatApnNetSpaceHourUsers','1 ','0 ','query_ftbStatDayApnUsers;ftp;load_ftbStatDayApnUsers'
40,'全网数据业务分析之APNType用户数',5,'ftbStatApnNetSpaceHourUsers','1 ','0 ','query_ftbStatDayApnTypeUsers;ftp;load_ftbStatDayApnTypeUsers'
41,'全网数据业务分析之协议用户数',5,'ftbStatProtocolHourUsers','1 ','0 ','query_ftbStatDayTcpProtocolUsers;ftp;load_ftbStatDayTcpProtocolUsers'
42,'全网数据业务分析之WAP用户数',5,'ftbStatWapHourUsers','1 ','0 ','query_ftbStatDayWapProtocolUsers;ftp;load_ftbStatDayWapProtocolUsers'
43,'全网数据业务分析之用户归属用户数',5,'ftbStatApnUserHourUsers','1 ','0 ','query_ftbStatDayUserBelongUsers;ftp;load_ftbStatDayUserBelongUsers'
44,'全网数据业务分析之TOP100小区呈现用户数',5,'ftbGnAppData','1 ','0 ','proc_ftbStatDayCgiFlushUser'
45,'集团业务行为分析之空间_BSC用户数',5,'ftbStatApnNetSpaceHourUsers','1 ','0 ','query_ftbStatDayApnBscUsers;ftp;load_ftbStatDayApnBscUsers'
46,'集团业务行为分析之空间_SGSN用户数',5,'ftbStatApnNetSpaceHourUsers','1 ','0 ','query_ftbStatDayApnSgsnUsers;ftp;load_ftbStatDayApnSgsnUsers'
47,'集团业务行为分析之空间_街道办用户数',5,'ftbStatApnAdminSpaceHourUsers','1 ','0 ','query_ftbStatDayApnStreetUsers;ftp;load_ftbStatDayApnStreetUsers'
48,'集团业务行为分析之空间_营销片区用户数',5,'ftbStatApnAdminSpaceHourUsers','1 ','0 ','query_ftbStatDayApnSaleAreaUsers;ftp;load_ftbStatDayApnSaleAreaUsers'
49,'集团业务行为分析之空间_分公司用户数',5,'ftbStatApnAdminSpaceHourUsers','1 ','0 ','query_ftbStatDayApnCompanyUsers;ftp;load_ftbStatDayApnCompanyUsers'
50,'集团业务行为分析之用户归属用户数',5,'ftbStatApnUserHourUsers','1 ','0 ','query_ftbStatDayApnUserBelongUsers;ftp;load_ftbStatDayApnUserBelongUsers'
51,'全网数据业务分析之业务_Bussiness用户数',5,'ftbStatBussNetSpaceHourUsers','1 ','0 ','query_ftbStatDayGprsBussUsers;ftp;load_ftbStatDayGprsBussUsers'
52,'\x0D 全网数据业务分析之空间分析用户数BSC',5,'ftbGnAppData','2 ','0 ','query_ftbStatWeekBscGprsSpaceUsers;ftp;load_ftbStatWeekBscGprsSpaceUsers'
53,'\x0D 全网数据业务分析之空间分析用户数SGSN',5,'ftbGnAppData','2 ','0 ','query_ftbStatWeekSgsnGprsSpaceUsers;ftp;load_ftbStatWeekSgsnGprsSpaceUsers'
54,'\x0D 全网数据业务分析之空间分析用户数_街道办',5,'ftbGnAppData','2 ','0 ','query_ftbStatWeekStreetGprsSpaceUsers;ftp;load_ftbStatWeekStreetGprsSpaceUsers'
55,'\x0D 全网数据业务分析之空间分析用户数_营销片区',5,'ftbGnAppData','2 ','0 ','query_ftbStatWeekSaleAreaGprsSpaceUsers;ftp;load_ftbStatWeekSaleAreaGprsSpaceUsers'
56,'\x0D 全网数据业务分析之空间分析用户数_分公司',5,'ftbGnAppData','2 ','0 ','query_ftbStatWeekCompanyGprsSpaceUsers;ftp;load_ftbStatWeekCompanyGprsSpaceUsers'
57,'全网数据业务分析之空间分析_业务维BSC',5,'ftbGnAppData','2 ','0 ','query_ftbStatWeekBscBussTypeUsers;ftp;load_ftbStatWeekBscBussTypeUsers'
58,'全网数据业务分析之空间分析_业务维SGSN',5,'ftbGnAppData','2 ','0 ','query_ftbStatWeekSgsnBussTypeUsers;ftp;load_ftbStatWeekSgsnBussTypeUsers'
59,'全网数据业务分析之空间分析_业务维_街道办',5,'ftbGnAppData','2 ','0 ','query_ftbStatWeekStreetBussTypeUsers;ftp;load_ftbStatWeekStreetBussTypeUsers'
60,'全网数据业务分析之空间分析_业务维_营销片区',5,'ftbGnAppData','2 ','0 ','query_ftbStatWeekSaleAreaBussTypeUsers;ftp;load_ftbStatWeekSaleAreaBussTypeUsers'
61,'全网数据业务分析之空间分析_业务维_分公司',5,'ftbGnAppData','2 ','0 ','query_ftbStatWeekCompanyBussTypeUsers;ftp;load_ftbStatWeekCompanyBussTypeUsers'
62,'\x0D\x0A全网数据业务分析之业务用户数',5,'ftbGnAppData','2 ','0 ','query_ftbStatWeekGprsBussTypeUsers;ftp;load_ftbStatWeekGprsBussTypeUsers'
63,'\x0D\x0A全网数据业务分析之APN用户数',5,'ftbGnSignalData','2 ','0 ','query_ftbStatWeekApnUsers;ftp;load_ftbStatWeekApnUsers'
