'GROUP_COUNTRY_DIST','BUSINUSS_GROUP_FLUSH','集团APN用户归属分布','/mantoeye/groupBisness/groupbisuserbelong.jsp?1=1',3,'\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09 \x0D\x0A\x09\x09\x09\x09\x09\x09\x09\x0D\x0A\x09\x09\x09\x09\x09\x09\x09\x0D\x0A\x09\x09\x09\x09\x09\x09\x09','0',1,'1','GROUP_COUNTRY_DIST'
'BIG_USER_MANA','BUSINUSS_BIG_FLUSH','每日大流量用户','/mantoeye/valueset/big_flush_display.jsp?1=1',1,'\x09\x09\x09\x09\x09\x09\x09\x09 \x0D\x0A\x09\x09\x09\x09\x09\x09\x09','0',1,'1','BIG_USER_MANA'
'BIG_BLACK_MANA','BUSINUSS_BIG_FLUSH','黑名单管理','/mantoeye/valueset/blackuser.jsp?1=1',3,'\x09\x09\x09\x09\x09\x09\x09\x09 \x0D\x0A\x09\x09\x09\x09\x09\x09\x09','0',1,'1','BIG_BLACK_MANA'
'BIG_FILTER_MANA','BUSINUSS_BIG_FLUSH','大流量阀值设置','/mantoeye/valueset/limitvalue.jsp?1=1',4,'\x09\x09\x09\x09\x09\x09\x09\x09 \x0D\x0A\x09\x09\x09\x09\x09\x09\x09','0',1,'1','BIG_FILTER_MANA'
'CATCH_HISBASE_DATA','BUSINUSS_DATA_CATCH','历史原始数据提取','/mantoeye/data_catch/data_catch_index.jsp?1=1',1,'','0',1,'1','CATCH_HISBASE_DATA'
'CATCH_CURRBASE_DATA','BUSINUSS_DATA_CATCH','实时原始数据提取','/mantoeye/data_catch/data_catch_index.jsp?1=1',2,'','0',1,'1','CATCH_CURRBASE_DATA'
'CATCH_HISANALYSIS_DATA','BUSINUSS_DATA_CATCH','历史解析记录提取','/mantoeye/data_catch/data_catch_index.jsp?1=1',3,'','0',1,'1','CATCH_HISANALYSIS_DATA'
'CATCH_IMSIS_DATA','BUSINUSS_DATA_CATCH','用户号码提取','/mantoeye/data_catch/data_catch_index.jsp?1=1',4,'','0',1,'1','CATCH_IMSIS_DATA'
'TERMINAL_BUSI_ANAY','BASE_TERMINAL_MANA','终端业务分析','/mantoeye/terminalbisanlyse/terminalanalyse.jsp?1=1',1,'','0',1,'1','TERMINAL_BUSI_ANAY'
'BUSINUSS_TERM_ANAY','BASE_TERMINAL_MANA','业务终端分析','/mantoeye/terminalbisanlyse/businessanalyse.jsp?1=1',2,'','0',1,'1','BUSINUSS_TERM_ANAY'
